SectionID,CourseID,Semester,InstructorID
165,1835,Summer 2026,1702
166,308,Summer 2026,1915
167,1782,Fall 2025,627
168,1503,Fall 2025,1022
169,1781,Fall 2025,423
170,1814,Summer 2026,1245
171,1650,Spring 2026,1387
172,680,Spring 2026,365
173,1749,Fall 2025,234
174,995,Spring 2026,1989
175,60,Spring 2026,663
176,1598,Summer 2026,674
177,1401,Summer 2026,871
178,283,Spring 2026,957
179,1880,Spring 2026,560
180,1793,Fall 2025,1784
181,307,Spring 2026,1023
182,559,Fall 2025,630
183,1324,Summer 2026,525
184,1004,Spring 2026,1732
185,1487,Spring 2026,1372
186,1126,Spring 2026,1264
187,619,Spring 2026,1382
188,966,Fall 2025,1207
189,208,Fall 2025,1450
190,212,Fall 2025,285
191,1248,Summer 2026,541
192,1803,Spring 2026,872
193,1538,Summer 2026,1125
194,505,Summer 2026,1640
195,720,Summer 2026,1673
196,1815,Fall 2025,257
197,2002,Summer 2026,1150
198,1027,Summer 2026,1244
199,1479,Summer 2026,1101
200,1778,Fall 2025,951
201,951,Summer 2026,902
202,1707,Summer 2026,49
203,1547,Fall 2025,482
204,505,Fall 2025,1287
205,1932,Fall 2025,1705
206,1374,Summer 2026,1908
207,519,Summer 2026,1292
208,15,Spring 2026,811
209,1065,Fall 2025,358
210,1400,Spring 2026,1200
211,862,Spring 2026,793
212,1754,Fall 2025,1949
213,1230,Summer 2026,237
214,508,Summer 2026,1314
215,1659,Fall 2025,1257
216,135,Summer 2026,1286
217,400,Spring 2026,500
218,1541,Fall 2025,1003
219,824,Spring 2026,960
220,1761,Fall 2025,848
221,1636,Summer 2026,1571
222,85,Fall 2025,1725
223,291,Summer 2026,1121
224,1831,Summer 2026,322
225,506,Fall 2025,682
226,278,Spring 2026,735
227,281,Spring 2026,1031
228,1241,Fall 2025,1100
229,535,Fall 2025,730
230,1171,Fall 2025,1887
231,301,Spring 2026,1133
232,1713,Spring 2026,1864
233,143,Spring 2026,1879
234,1967,Summer 2026,1509
235,1010,Fall 2025,1923
236,1579,Summer 2026,1881
237,926,Fall 2025,758
238,439,Summer 2026,200
239,1712,Fall 2025,1966
240,1480,Fall 2025,381
241,652,Summer 2026,1063
242,1453,Summer 2026,741
243,319,Fall 2025,1141
244,66,Spring 2026,999
245,1153,Fall 2025,1597
246,651,Fall 2025,1834
247,1853,Spring 2026,667
248,1353,Summer 2026,1107
249,887,Fall 2025,1628
250,1863,Spring 2026,14
251,57,Summer 2026,222
252,555,Spring 2026,1294
253,306,Spring 2026,1832
254,735,Spring 2026,1335
255,362,Spring 2026,278
256,347,Summer 2026,188
257,1411,Fall 2025,569
258,1398,Summer 2026,1168
259,240,Spring 2026,1403
260,913,Spring 2026,495
261,353,Spring 2026,1266
262,815,Fall 2025,742
263,1995,Spring 2026,1206
264,1142,Spring 2026,1580
265,1581,Summer 2026,1201
266,454,Summer 2026,1502
267,1015,Summer 2026,1746
268,623,Summer 2026,150
269,995,Fall 2025,1222
270,1634,Fall 2025,390
271,1468,Spring 2026,23
272,1602,Summer 2026,1578
273,1774,Spring 2026,398
274,1359,Spring 2026,571
275,76,Fall 2025,847
276,1261,Spring 2026,482
277,1945,Summer 2026,1094
278,258,Spring 2026,1713
279,629,Summer 2026,1508
280,1157,Fall 2025,1679
281,763,Fall 2025,1930
282,1329,Summer 2026,1515
283,1219,Fall 2025,916
284,787,Summer 2026,1193
285,855,Fall 2025,1930
286,1452,Summer 2026,263
287,479,Fall 2025,729
288,1251,Fall 2025,1152
289,1821,Spring 2026,1951
290,852,Summer 2026,848
291,281,Summer 2026,1131
292,727,Summer 2026,712
293,636,Summer 2026,1573
294,1003,Spring 2026,1394
295,366,Summer 2026,870
296,936,Fall 2025,755
297,325,Spring 2026,1350
298,691,Spring 2026,1450
299,590,Spring 2026,853
300,1509,Summer 2026,895
301,60,Spring 2026,1113
302,1220,Fall 2025,41
303,242,Summer 2026,1742
304,545,Summer 2026,841
305,1959,Spring 2026,375
306,1519,Summer 2026,1042
307,617,Summer 2026,753
308,1133,Summer 2026,1061
309,1390,Fall 2025,1318
310,1313,Fall 2025,785
311,1834,Summer 2026,336
312,1682,Summer 2026,1813
313,1018,Summer 2026,329
314,792,Summer 2026,1844
315,223,Fall 2025,664
316,501,Summer 2026,267
317,1336,Fall 2025,684
318,1095,Summer 2026,551
319,1546,Summer 2026,1630
320,919,Fall 2025,1754
321,751,Fall 2025,1671
322,58,Summer 2026,804
323,94,Fall 2025,1546
324,804,Summer 2026,1436
325,1665,Summer 2026,1763
326,618,Summer 2026,1031
327,1476,Summer 2026,288
328,1990,Fall 2025,124
329,191,Fall 2025,757
330,937,Fall 2025,192
331,1198,Summer 2026,1043
332,1571,Summer 2026,1690
333,361,Fall 2025,1147
334,1822,Summer 2026,1186
335,1453,Fall 2025,233
336,1559,Summer 2026,1815
337,1079,Spring 2026,823
338,861,Fall 2025,1579
339,305,Fall 2025,1337
340,379,Fall 2025,539
341,236,Spring 2026,364
342,451,Summer 2026,241
343,1662,Spring 2026,321
344,893,Summer 2026,1516
345,70,Summer 2026,1324
346,676,Summer 2026,1665
347,1580,Fall 2025,668
348,1248,Spring 2026,1299
349,572,Spring 2026,348
350,1235,Fall 2025,1417
351,1985,Spring 2026,222
352,788,Spring 2026,1941
353,27,Summer 2026,1677
354,466,Summer 2026,408
355,623,Spring 2026,798
356,1529,Spring 2026,1851
357,1919,Fall 2025,705
358,1536,Fall 2025,689
359,994,Fall 2025,1928
360,1000,Spring 2026,38
361,703,Summer 2026,482
362,1993,Summer 2026,2003
363,105,Summer 2026,597
364,1833,Fall 2025,1737
365,1334,Summer 2026,1007
366,1779,Summer 2026,85
367,1105,Summer 2026,1425
368,1783,Fall 2025,1815
369,994,Summer 2026,1896
370,1823,Fall 2025,1978
371,817,Spring 2026,1100
372,772,Spring 2026,1349
373,1201,Fall 2025,1153
374,876,Fall 2025,124
375,228,Fall 2025,710
376,457,Summer 2026,1260
377,519,Spring 2026,1202
378,1438,Spring 2026,144
379,1796,Fall 2025,352
380,1152,Summer 2026,562
381,63,Fall 2025,837
382,1653,Summer 2026,251
383,1335,Summer 2026,1598
384,1718,Fall 2025,1307
385,1908,Summer 2026,1791
386,1371,Spring 2026,263
387,1020,Summer 2026,931
388,11,Summer 2026,1975
389,1153,Spring 2026,1859
390,1605,Summer 2026,1253
391,613,Spring 2026,832
392,1011,Spring 2026,652
393,1760,Summer 2026,1427
394,414,Fall 2025,529
395,1510,Summer 2026,1080
396,642,Summer 2026,1051
397,945,Fall 2025,713
398,1731,Fall 2025,535
399,6,Fall 2025,1464
400,1321,Summer 2026,735
401,10,Summer 2026,1620
402,101,Fall 2025,1166
403,703,Summer 2026,761
404,729,Spring 2026,1935
405,1748,Summer 2026,1631
406,1299,Fall 2025,1840
407,1643,Spring 2026,69
408,1223,Spring 2026,72
409,1899,Spring 2026,1635
410,738,Fall 2025,482
411,1103,Fall 2025,282
412,998,Summer 2026,1546
413,1418,Fall 2025,295
414,630,Summer 2026,712
415,1951,Spring 2026,1322
416,227,Fall 2025,1817
417,725,Summer 2026,1362
418,546,Spring 2026,735
419,689,Spring 2026,249
420,1199,Fall 2025,862
421,1471,Summer 2026,684
422,1116,Summer 2026,468
423,597,Summer 2026,957
424,1424,Fall 2025,725
425,248,Summer 2026,266
426,554,Spring 2026,1964
427,999,Fall 2025,1482
428,1870,Spring 2026,1282
429,1390,Spring 2026,1816
430,1231,Spring 2026,215
431,1343,Spring 2026,1953
432,540,Summer 2026,1222
433,843,Summer 2026,542
434,1142,Summer 2026,1170
435,1451,Summer 2026,439
436,613,Spring 2026,1215
437,625,Spring 2026,239
438,602,Summer 2026,590
439,1533,Spring 2026,1063
440,1167,Summer 2026,850
441,186,Spring 2026,1677
442,1451,Spring 2026,261
443,455,Fall 2025,535
444,799,Spring 2026,115
445,1228,Fall 2025,846
446,1280,Summer 2026,712
447,734,Fall 2025,433
448,1539,Summer 2026,1797
449,219,Spring 2026,1152
450,161,Spring 2026,719
451,1623,Spring 2026,1807
452,393,Spring 2026,511
453,1430,Fall 2025,908
454,95,Spring 2026,1152
455,211,Spring 2026,1875
456,1753,Fall 2025,1156
457,1286,Summer 2026,1144
458,1420,Summer 2026,385
459,441,Summer 2026,424
460,66,Fall 2025,1788
461,1732,Summer 2026,1204
462,634,Spring 2026,1471
463,603,Fall 2025,192
464,284,Summer 2026,1465
465,920,Summer 2026,753
466,1377,Summer 2026,1011
467,1153,Summer 2026,226
468,781,Summer 2026,1980
469,942,Spring 2026,1722
470,946,Summer 2026,746
471,881,Spring 2026,99
472,706,Summer 2026,1805
473,1290,Spring 2026,1209
474,171,Spring 2026,1118
475,1925,Spring 2026,429
476,705,Summer 2026,271
477,74,Spring 2026,1230
478,490,Spring 2026,172
479,746,Spring 2026,360
480,736,Summer 2026,6
481,1491,Summer 2026,1164
482,1933,Spring 2026,1933
483,274,Summer 2026,655
484,972,Fall 2025,842
485,661,Fall 2025,192
486,1766,Summer 2026,537
487,1749,Summer 2026,1413
488,1930,Spring 2026,94
489,1961,Fall 2025,528
490,906,Fall 2025,281
491,28,Summer 2026,99
492,755,Spring 2026,396
493,1380,Fall 2025,349
494,16,Fall 2025,1257
495,1337,Summer 2026,1319
496,1208,Spring 2026,1002
497,1338,Spring 2026,1926
498,1727,Summer 2026,1123
499,1456,Summer 2026,1655
500,1247,Fall 2025,1560
501,1482,Fall 2025,1367
502,649,Fall 2025,1715
503,1487,Spring 2026,424
504,1441,Fall 2025,1456
505,594,Spring 2026,1915
506,1724,Spring 2026,1686
507,526,Summer 2026,1870
508,1178,Summer 2026,160
509,1955,Spring 2026,692
510,93,Fall 2025,907
511,456,Summer 2026,214
512,1387,Summer 2026,519
513,1460,Spring 2026,1773
514,884,Fall 2025,1277
515,1364,Fall 2025,1509
516,1388,Fall 2025,27
517,300,Fall 2025,643
518,637,Summer 2026,1279
519,661,Spring 2026,311
520,819,Summer 2026,1027
521,1992,Spring 2026,1848
522,337,Fall 2025,809
523,1784,Fall 2025,1837
524,839,Summer 2026,790
525,675,Fall 2025,1616
526,1826,Fall 2025,1297
527,292,Spring 2026,1873
528,601,Summer 2026,509
529,288,Spring 2026,1793
530,339,Summer 2026,735
531,905,Summer 2026,1570
532,844,Summer 2026,1702
533,632,Summer 2026,1455
534,1129,Spring 2026,1917
535,1514,Spring 2026,1858
536,778,Fall 2025,911
537,1294,Fall 2025,1643
538,377,Spring 2026,1153
539,1598,Fall 2025,187
540,817,Fall 2025,738
541,1673,Summer 2026,1798
542,1039,Fall 2025,555
543,1692,Spring 2026,652
544,41,Spring 2026,1001
545,1210,Fall 2025,463
546,414,Spring 2026,1214
547,1390,Spring 2026,763
548,15,Summer 2026,1337
549,1376,Spring 2026,1906
550,1036,Fall 2025,1507
551,384,Fall 2025,1105
552,1927,Spring 2026,1811
553,395,Summer 2026,1789
554,482,Summer 2026,109
555,405,Fall 2025,1711
556,364,Fall 2025,1270
557,461,Summer 2026,801
558,1324,Fall 2025,144
559,1624,Summer 2026,418
560,344,Spring 2026,90
561,658,Spring 2026,789
562,1676,Summer 2026,101
563,615,Fall 2025,1726
564,1180,Spring 2026,236
565,448,Summer 2026,270
566,1792,Summer 2026,652
567,369,Summer 2026,437
568,1917,Spring 2026,1931
569,491,Summer 2026,1234
570,842,Summer 2026,417
571,1651,Summer 2026,1789
572,206,Fall 2025,1255
573,60,Summer 2026,1454
574,1378,Fall 2025,290
575,277,Spring 2026,985
576,448,Fall 2025,1872
577,29,Fall 2025,395
578,595,Spring 2026,531
579,737,Summer 2026,1037
580,1907,Summer 2026,708
581,1094,Spring 2026,1946
582,1850,Summer 2026,1660
583,150,Fall 2025,407
584,885,Fall 2025,882
585,1600,Fall 2025,417
586,1873,Spring 2026,1494
587,728,Summer 2026,1391
588,395,Summer 2026,1446
589,1706,Summer 2026,1196
590,1513,Fall 2025,609
591,250,Fall 2025,339
592,937,Spring 2026,1110
593,15,Fall 2025,62
594,123,Fall 2025,925
595,1958,Summer 2026,1942
596,29,Fall 2025,1647
597,1590,Fall 2025,1232
598,1049,Spring 2026,803
599,391,Summer 2026,1966
600,491,Summer 2026,435
601,584,Spring 2026,1665
602,758,Fall 2025,205
603,437,Fall 2025,1490
604,990,Fall 2025,886
605,1400,Fall 2025,59
606,1959,Fall 2025,280
607,1020,Summer 2026,1090
608,473,Summer 2026,1621
609,1894,Fall 2025,1548
610,1326,Spring 2026,1628
611,865,Spring 2026,711
612,455,Spring 2026,674
613,1624,Fall 2025,919
614,1248,Fall 2025,1185
615,1299,Summer 2026,701
616,1026,Summer 2026,739
617,1044,Summer 2026,466
618,1113,Spring 2026,395
619,1055,Fall 2025,1953
620,1977,Summer 2026,831
621,1644,Summer 2026,778
622,1696,Summer 2026,251
623,1586,Fall 2025,612
624,1690,Fall 2025,1595
625,1470,Summer 2026,275
626,870,Fall 2025,1046
627,659,Spring 2026,967
628,649,Spring 2026,238
629,92,Summer 2026,371
630,349,Spring 2026,391
631,683,Fall 2025,912
632,859,Fall 2025,635
633,596,Summer 2026,1055
634,1120,Summer 2026,630
635,1622,Fall 2025,1923
636,1064,Summer 2026,1402
637,673,Spring 2026,1132
638,1373,Summer 2026,412
639,765,Fall 2025,63
640,1352,Spring 2026,1138
641,361,Fall 2025,357
642,19,Summer 2026,78
643,1934,Fall 2025,398
644,190,Fall 2025,1286
645,1851,Fall 2025,1656
646,1222,Spring 2026,704
647,663,Spring 2026,825
648,1672,Spring 2026,1326
649,462,Spring 2026,281
650,470,Spring 2026,1275
651,234,Fall 2025,859
652,1136,Summer 2026,568
653,841,Fall 2025,512
654,283,Summer 2026,1209
655,1805,Spring 2026,778
656,134,Spring 2026,38
657,643,Summer 2026,130
658,772,Spring 2026,58
659,225,Spring 2026,112
660,804,Summer 2026,1892
661,1620,Fall 2025,1429
662,71,Spring 2026,82
663,757,Summer 2026,824
664,1687,Fall 2025,1699
665,871,Summer 2026,1279
666,1101,Fall 2025,1922
667,834,Spring 2026,1344
668,782,Summer 2026,1314
669,1585,Summer 2026,1312
670,1479,Spring 2026,280
671,789,Fall 2025,1213
672,572,Fall 2025,915
673,468,Summer 2026,337
674,415,Fall 2025,672
675,523,Fall 2025,1570
676,1798,Spring 2026,922
677,1695,Fall 2025,605
678,559,Spring 2026,149
679,241,Summer 2026,1411
680,918,Fall 2025,1231
681,1383,Fall 2025,486
682,1027,Summer 2026,373
683,132,Spring 2026,1521
684,807,Summer 2026,682
685,946,Summer 2026,666
686,1041,Spring 2026,749
687,1336,Summer 2026,1673
688,1117,Spring 2026,198
689,404,Fall 2025,933
690,1261,Fall 2025,545
691,546,Fall 2025,1648
692,1695,Summer 2026,1757
693,1555,Spring 2026,1156
694,2000,Spring 2026,796
695,406,Spring 2026,782
696,598,Summer 2026,1899
697,1054,Summer 2026,596
698,1790,Spring 2026,1482
699,741,Spring 2026,1120
700,630,Fall 2025,585
701,1733,Fall 2025,430
702,460,Summer 2026,1037
703,555,Spring 2026,210
704,940,Summer 2026,1239
705,566,Summer 2026,384
706,1775,Spring 2026,1377
707,371,Spring 2026,1967
708,690,Spring 2026,1722
709,1148,Summer 2026,1599
710,54,Summer 2026,343
711,473,Fall 2025,46
712,36,Summer 2026,1904
713,122,Summer 2026,1125
714,1733,Spring 2026,1809
715,1711,Fall 2025,1647
716,292,Spring 2026,2002
717,229,Fall 2025,216
718,1455,Summer 2026,198
719,1173,Summer 2026,165
720,124,Summer 2026,895
721,4,Fall 2025,1565
722,1390,Fall 2025,288
723,1666,Fall 2025,1162
724,278,Summer 2026,1245
725,821,Fall 2025,1420
726,465,Spring 2026,1016
727,650,Fall 2025,1298
728,420,Fall 2025,618
729,1205,Fall 2025,770
730,627,Summer 2026,423
731,970,Fall 2025,1438
732,1581,Summer 2026,1959
733,339,Spring 2026,1917
734,57,Summer 2026,1861
735,1772,Spring 2026,295
736,438,Fall 2025,193
737,938,Summer 2026,407
738,1300,Fall 2025,1431
739,1921,Fall 2025,348
740,557,Fall 2025,705
741,960,Spring 2026,1227
742,1956,Fall 2025,68
743,1874,Spring 2026,1222
744,900,Fall 2025,790
745,1615,Spring 2026,750
746,848,Summer 2026,729
747,903,Summer 2026,105
748,765,Spring 2026,1911
749,238,Fall 2025,939
750,1566,Fall 2025,1195
751,169,Fall 2025,57
752,35,Spring 2026,1009
753,1989,Spring 2026,1319
754,1337,Spring 2026,262
755,1255,Summer 2026,41
756,1692,Summer 2026,172
757,1467,Summer 2026,1926
758,688,Summer 2026,1746
759,1436,Fall 2025,1179
760,161,Summer 2026,399
761,780,Fall 2025,337
762,1149,Spring 2026,201
763,396,Fall 2025,415
764,555,Spring 2026,1378
765,393,Spring 2026,723
766,1712,Fall 2025,675
767,1731,Fall 2025,1571
768,333,Spring 2026,420
769,1215,Fall 2025,403
770,1079,Summer 2026,933
771,1088,Fall 2025,519
772,1921,Spring 2026,1871
773,725,Spring 2026,1765
774,78,Summer 2026,143
775,1039,Fall 2025,1142
776,1168,Spring 2026,620
777,1383,Fall 2025,374
778,1706,Spring 2026,1019
779,770,Spring 2026,302
780,481,Fall 2025,85
781,289,Summer 2026,1076
782,217,Summer 2026,504
783,897,Spring 2026,1362
784,927,Fall 2025,1054
785,787,Spring 2026,1070
786,986,Spring 2026,1
787,1744,Spring 2026,948
788,539,Spring 2026,324
789,1447,Spring 2026,1382
790,144,Summer 2026,1901
791,1560,Fall 2025,679
792,1917,Fall 2025,1363
793,547,Fall 2025,1785
794,902,Summer 2026,1522
795,660,Summer 2026,807
796,257,Fall 2025,1454
797,504,Spring 2026,872
798,1249,Summer 2026,1440
799,713,Fall 2025,1793
800,1663,Spring 2026,1211
801,466,Spring 2026,1600
802,122,Spring 2026,956
803,1108,Fall 2025,1333
804,423,Spring 2026,1311
805,1334,Fall 2025,21
806,1267,Summer 2026,1778
807,985,Fall 2025,939
808,1505,Fall 2025,1208
809,115,Fall 2025,326
810,1913,Summer 2026,967
811,455,Fall 2025,80
812,1931,Spring 2026,1539
813,223,Summer 2026,107
814,89,Fall 2025,1443
815,625,Summer 2026,1490
816,693,Fall 2025,1205
817,1640,Spring 2026,769
818,475,Fall 2025,536
819,1302,Spring 2026,690
820,147,Fall 2025,1631
821,3,Fall 2025,1893
822,1433,Summer 2026,1891
823,184,Summer 2026,469
824,154,Summer 2026,578
825,1848,Spring 2026,1510
826,836,Spring 2026,1047
827,1217,Summer 2026,994
828,1338,Summer 2026,639
829,1748,Fall 2025,1241
830,856,Fall 2025,126
831,1601,Spring 2026,303
832,107,Spring 2026,1875
833,1654,Fall 2025,1285
834,367,Fall 2025,1928
835,100,Summer 2026,1786
836,1805,Spring 2026,1415
837,20,Fall 2025,1309
838,12,Spring 2026,199
839,1586,Spring 2026,1965
840,1740,Fall 2025,182
841,943,Fall 2025,1642
842,1715,Spring 2026,89
843,1383,Summer 2026,504
844,1629,Fall 2025,76
845,1923,Fall 2025,610
846,127,Fall 2025,458
847,629,Spring 2026,414
848,1442,Spring 2026,1619
849,87,Spring 2026,649
850,1496,Spring 2026,1360
851,787,Summer 2026,1644
852,825,Fall 2025,1836
853,1347,Fall 2025,1554
854,1064,Spring 2026,1445
855,348,Spring 2026,1588
856,1692,Spring 2026,404
857,1503,Summer 2026,1870
858,1324,Fall 2025,1816
859,1858,Spring 2026,254
860,1515,Fall 2025,1349
861,338,Summer 2026,254
862,685,Spring 2026,317
863,110,Summer 2026,1195
864,922,Summer 2026,1777
865,804,Spring 2026,1321
866,663,Fall 2025,648
867,1081,Fall 2025,1383
868,1813,Fall 2025,1087
869,1366,Spring 2026,547
870,290,Fall 2025,717
871,1198,Fall 2025,1278
872,157,Summer 2026,1899
873,1006,Spring 2026,912
874,18,Spring 2026,594
875,1615,Fall 2025,883
876,1272,Fall 2025,909
877,213,Fall 2025,949
878,1067,Fall 2025,349
879,35,Fall 2025,451
880,815,Spring 2026,395
881,996,Summer 2026,1073
882,524,Fall 2025,1879
883,373,Fall 2025,1763
884,604,Spring 2026,429
885,367,Spring 2026,1080
886,289,Fall 2025,538
887,1370,Fall 2025,1745
888,609,Fall 2025,658
889,873,Fall 2025,1409
890,300,Spring 2026,759
891,1273,Fall 2025,1692
892,1705,Fall 2025,1203
893,1678,Spring 2026,1410
894,17,Summer 2026,1155
895,1216,Spring 2026,1636
896,1541,Spring 2026,1634
897,91,Fall 2025,950
898,1000,Fall 2025,1908
899,1644,Summer 2026,312
900,1422,Spring 2026,1144
901,1667,Summer 2026,1593
902,1443,Spring 2026,442
903,1212,Spring 2026,943
904,972,Summer 2026,1686
905,1082,Summer 2026,954
906,172,Summer 2026,934
907,1765,Summer 2026,122
908,489,Summer 2026,1713
909,652,Spring 2026,60
910,1617,Spring 2026,1277
911,377,Summer 2026,556
912,307,Spring 2026,1379
913,1841,Summer 2026,1534
914,37,Spring 2026,556
915,1629,Fall 2025,1016
916,1004,Summer 2026,501
917,637,Spring 2026,1390
918,1497,Spring 2026,445
919,1884,Summer 2026,1085
920,1441,Fall 2025,643
921,1150,Summer 2026,445
922,817,Summer 2026,1355
923,637,Fall 2025,1092
924,203,Spring 2026,770
925,1157,Spring 2026,1258
926,93,Spring 2026,1798
927,1807,Fall 2025,945
928,67,Fall 2025,309
929,1563,Fall 2025,41
930,459,Spring 2026,1841
931,1416,Fall 2025,457
932,187,Spring 2026,57
933,1164,Fall 2025,245
934,847,Summer 2026,1800
935,1610,Fall 2025,407
936,876,Summer 2026,191
937,168,Fall 2025,1548
938,1359,Summer 2026,351
939,1253,Spring 2026,138
940,615,Fall 2025,1021
941,845,Fall 2025,402
942,1207,Fall 2025,409
943,1796,Spring 2026,1696
944,1262,Summer 2026,1366
945,1312,Fall 2025,191
946,1813,Spring 2026,1096
947,529,Summer 2026,246
948,1662,Spring 2026,331
949,1150,Spring 2026,509
950,14,Fall 2025,1811
951,1047,Spring 2026,186
952,1271,Spring 2026,1728
953,1557,Fall 2025,471
954,205,Fall 2025,1502
955,463,Summer 2026,1479
956,372,Summer 2026,1278
957,848,Spring 2026,572
958,1647,Spring 2026,38
959,937,Spring 2026,1774
960,1205,Fall 2025,1496
961,736,Fall 2025,1431
962,1919,Fall 2025,530
963,154,Fall 2025,850
964,893,Spring 2026,359
965,1282,Summer 2026,456
966,1028,Fall 2025,1891
967,910,Summer 2026,959
968,1091,Summer 2026,922
969,764,Summer 2026,1264
970,966,Summer 2026,1857
971,972,Fall 2025,679
972,1316,Summer 2026,1869
973,1771,Spring 2026,62
974,1424,Fall 2025,237
975,98,Fall 2025,951
976,1037,Spring 2026,299
977,400,Summer 2026,608
978,721,Fall 2025,237
979,1731,Fall 2025,415
980,1366,Spring 2026,350
981,1950,Spring 2026,1967
982,680,Spring 2026,76
983,241,Spring 2026,1175
984,379,Summer 2026,849
985,468,Fall 2025,922
986,100,Spring 2026,1234
987,1657,Spring 2026,1418
988,1217,Summer 2026,996
989,1534,Fall 2025,1011
990,838,Fall 2025,19
991,977,Fall 2025,1432
992,963,Summer 2026,1739
993,1600,Summer 2026,467
994,1660,Summer 2026,1181
995,198,Summer 2026,1386
996,292,Fall 2025,68
997,1766,Summer 2026,920
998,567,Fall 2025,1084
