RoomID,Building,Capacity
3,C,45
4,Tech Lab,40
5,Building A,40
6,Building C,30
7,Building B,150
8,Science Hub,100
9,Science Hub,150
10,Building A,30
11,Building B,150
12,Building A,50
13,Building B,30
14,Building C,150
15,Building A,40
16,Building A,60
17,Building B,60
18,Building B,30
19,Building A,100
20,Building C,100
21,Tech Lab,60
22,Building C,60
23,Building A,30
24,Building B,60
25,Tech Lab,150
26,Science Hub,150
27,Building B,60
28,Building C,100
29,Building C,50
30,Science Hub,150
31,Science Hub,40
32,Building A,40
33,Building C,60
34,Building B,60
35,Building C,50
36,Building A,150
37,Tech Lab,100
38,Building C,50
39,Building A,150
40,Science Hub,50
41,Tech Lab,40
42,Tech Lab,150
43,Science Hub,150
44,Building C,100
45,Tech Lab,40
46,Tech Lab,150
47,Building C,50
48,Building B,30
49,Tech Lab,40
50,Building B,60
51,Tech Lab,50
52,Building A,50
53,Tech Lab,150
54,Building C,100
55,Building B,100
56,Building A,100
57,Building C,40
58,Science Hub,30
59,Building B,50
60,Science Hub,100
61,Tech Lab,150
62,Science Hub,50
63,Science Hub,50
64,Science Hub,40
65,Building B,150
66,Science Hub,30
67,Building B,60
68,Building B,150
69,Science Hub,150
70,Building A,30
71,Building B,40
72,Science Hub,30
73,Building C,40
74,Building A,150
75,Building C,60
76,Building C,30
77,Building C,150
78,Building A,100
79,Building A,40
80,Science Hub,150
81,Building C,40
82,Building B,30
83,Science Hub,50
84,Building B,50
85,Tech Lab,150
86,Building A,150
87,Science Hub,100
88,Building B,150
89,Tech Lab,30
90,Building C,30
91,Tech Lab,60
92,Building A,30
93,Building A,150
94,Science Hub,50
95,Building A,30
96,Building A,50
97,Tech Lab,60
98,Building C,60
99,Building A,50
100,Science Hub,50
101,Science Hub,40
102,Tech Lab,50
103,Building C,30
104,Building A,30
105,Science Hub,30
106,Science Hub,100
107,Science Hub,150
108,Building A,30
109,Building C,50
110,Building A,40
111,Building B,100
112,Science Hub,40
113,Tech Lab,50
114,Tech Lab,40
115,Building A,50
116,Science Hub,60
117,Science Hub,30
118,Building A,150
119,Building C,40
120,Building B,150
121,Building B,60
122,Science Hub,150
123,Building C,40
124,Building C,30
125,Science Hub,150
126,Tech Lab,150
127,Tech Lab,50
128,Tech Lab,150
129,Building A,30
130,Building C,40
131,Building B,150
132,Building B,50
133,Building C,150
265,Building C,30
266,Science Hub,50
267,Science Hub,40
268,Building A,60
269,Tech Lab,60
270,Tech Lab,60
271,Building C,40
272,Science Hub,40
273,Tech Lab,60
274,Tech Lab,30
275,Building A,60
276,Science Hub,30
277,Building A,30
278,Science Hub,40
279,Building A,60
280,Building C,60
281,Science Hub,60
282,Science Hub,100
283,Building C,50
284,Tech Lab,50
285,Building B,30
286,Tech Lab,30
287,Science Hub,30
288,Building C,30
289,Tech Lab,60
290,Science Hub,60
291,Science Hub,100
292,Building C,50
293,Science Hub,150
294,Tech Lab,30
295,Building B,30
296,Science Hub,40
297,Science Hub,100
298,Science Hub,100
299,Building B,150
300,Science Hub,40
301,Building B,150
302,Building C,40
303,Building C,60
304,Science Hub,30
305,Science Hub,60
306,Building C,150
307,Tech Lab,50
308,Building C,100
309,Tech Lab,150
310,Building C,40
311,Building C,100
312,Tech Lab,30
313,Building A,150
314,Building B,150
315,Building C,50
316,Building A,40
317,Science Hub,100
318,Building A,60
319,Building B,150
320,Building A,100
321,Tech Lab,50
322,Building B,150
323,Tech Lab,60
324,Tech Lab,100
325,Tech Lab,60
326,Building A,150
327,Tech Lab,100
328,Building B,50
329,Building B,30
330,Building B,30
331,Science Hub,60
332,Building C,60
333,Building C,30
334,Tech Lab,100
335,Tech Lab,100
336,Science Hub,150
337,Building B,60
338,Tech Lab,60
339,Building A,60
340,Science Hub,40
341,Building C,150
342,Building C,40
343,Building B,100
344,Building C,60
345,Building A,60
346,Building A,40
347,Tech Lab,50
348,Building B,60
349,Science Hub,100
350,Tech Lab,100
351,Tech Lab,50
352,Building C,100
353,Building B,40
354,Building C,50
355,Tech Lab,60
356,Science Hub,40
357,Building B,50
358,Building A,150
359,Science Hub,100
360,Building B,30
361,Building B,150
362,Building A,30
363,Building C,60
364,Building B,100
365,Building A,30
366,Building A,50
367,Building A,150
368,Building C,60
369,Building B,60
370,Building A,150
371,Building A,150
372,Building C,100
373,Building A,100
374,Building C,40
375,Building A,100
376,Building A,100
377,Science Hub,100
378,Building B,40
379,Science Hub,50
380,Building B,30
381,Science Hub,150
382,Science Hub,100
383,Tech Lab,50
384,Building B,150
385,Building A,50
386,Building C,100
387,Building C,150
388,Science Hub,100
389,Building B,100
390,Building B,30
391,Building C,30
392,Science Hub,50
393,Building A,50
394,Building A,30
395,Building B,100
396,Building A,30
397,Building B,150
398,Building B,40
399,Building C,60
400,Science Hub,30
401,Building C,60
402,Building C,100
403,Building C,30
404,Building A,40
405,Science Hub,150
406,Tech Lab,50
407,Building B,60
408,Tech Lab,100
409,Building A,30
410,Building C,60
411,Science Hub,40
412,Tech Lab,40
413,Building A,30
414,Building C,50
415,Tech Lab,60
416,Building C,150
417,Building B,100
418,Science Hub,40
419,Building B,150
420,Building A,150
421,Building C,40
422,Science Hub,30
423,Building C,150
424,Building A,50
425,Building A,60
426,Building B,100
427,Tech Lab,50
428,Science Hub,50
429,Building C,30
430,Building A,30
431,Building B,50
432,Building B,150
433,Science Hub,40
434,Building C,50
435,Building A,100
436,Building C,40
437,Tech Lab,30
438,Building B,150
439,Building B,30
440,Tech Lab,40
441,Building A,40
442,Building B,60
443,Building C,50
444,Tech Lab,50
445,Building C,30
446,Building A,100
447,Building B,30
448,Building B,150
449,Tech Lab,100
450,Science Hub,30
451,Building C,40
452,Tech Lab,40
453,Building A,30
454,Building B,40
455,Building B,100
456,Building C,150
457,Building A,60
458,Tech Lab,40
459,Science Hub,60
460,Science Hub,150
461,Building A,60
462,Building C,50
463,Science Hub,30
464,Building C,100
465,Building A,30
466,Science Hub,50
467,Building A,150
468,Building B,60
469,Building A,150
470,Building B,30
471,Science Hub,30
472,Science Hub,40
473,Tech Lab,50
474,Building C,60
475,Building B,150
476,Building A,50
477,Building A,60
478,Building C,50
479,Building B,30
480,Tech Lab,100
481,Building C,50
482,Building C,150
483,Building C,40
484,Building C,40
485,Building C,60
486,Building B,60
487,Tech Lab,50
488,Building A,150
489,Science Hub,100
490,Building A,40
491,Tech Lab,100
492,Building C,30
493,Building A,100
494,Building B,150
495,Building C,150
496,Building C,150
497,Building B,100
498,Tech Lab,60
499,Building B,100
500,Building A,150
501,Science Hub,40
502,Science Hub,30
503,Building C,50
504,Building B,50
505,Tech Lab,100
506,Tech Lab,40
507,Building B,100
508,Science Hub,150
509,Science Hub,40
510,Tech Lab,40
511,Building B,60
512,Tech Lab,40
513,Tech Lab,60
514,Building B,60
515,Building C,40
516,Building A,40
517,Building C,100
518,Building B,50
519,Building A,100
520,Tech Lab,60
521,Science Hub,30
522,Building A,30
523,Tech Lab,100
524,Building C,30
525,Tech Lab,30
526,Building C,100
527,Building C,60
528,Building B,150
529,Science Hub,100
530,Building B,50
531,Tech Lab,50
532,Science Hub,100
533,Building C,50
534,Building A,40
535,Building C,30
536,Building B,30
537,Tech Lab,40
538,Science Hub,150
539,Science Hub,100
540,Building B,60
541,Building A,60
542,Science Hub,60
543,Building B,60
544,Building B,60
545,Science Hub,30
546,Tech Lab,40
547,Building C,40
548,Tech Lab,40
549,Building A,40
550,Building A,100
551,Building C,50
552,Building A,40
553,Building A,60
554,Building C,50
555,Building A,40
556,Tech Lab,60
557,Building C,150
558,Building C,30
559,Building C,30
560,Tech Lab,60
561,Building A,150
562,Building A,30
563,Building C,50
564,Building B,30
565,Science Hub,100
566,Tech Lab,150
567,Building B,50
568,Building C,150
569,Science Hub,40
570,Tech Lab,30
571,Tech Lab,50
572,Building B,50
573,Building C,150
574,Building B,50
575,Science Hub,50
576,Tech Lab,40
577,Building B,60
578,Building C,50
579,Building C,30
580,Building A,100
581,Building C,100
582,Tech Lab,150
583,Science Hub,150
584,Building A,50
585,Science Hub,40
586,Building A,100
587,Science Hub,50
588,Tech Lab,30
589,Building A,40
590,Tech Lab,50
591,Building B,40
592,Building A,40
593,Building C,150
594,Building A,40
595,Tech Lab,150
596,Science Hub,100
597,Building B,100
598,Building A,100
599,Building A,50
600,Building A,100
601,Building C,150
602,Building B,60
603,Science Hub,100
604,Building C,60
605,Building A,150
606,Building A,40
607,Building C,30
608,Science Hub,40
609,Tech Lab,50
610,Building A,60
611,Building A,40
612,Building C,100
613,Tech Lab,100
614,Building A,50
615,Science Hub,30
616,Building C,40
617,Tech Lab,60
618,Building A,60
619,Tech Lab,60
620,Science Hub,60
621,Tech Lab,150
622,Building A,100
623,Science Hub,50
624,Science Hub,150
625,Building C,40
626,Tech Lab,100
627,Building A,60
628,Building C,50
629,Science Hub,150
630,Building A,60
631,Tech Lab,100
632,Building B,100
633,Tech Lab,100
634,Tech Lab,50
635,Tech Lab,150
636,Tech Lab,60
637,Building A,30
638,Science Hub,30
639,Building C,60
640,Tech Lab,40
641,Building A,150
642,Building B,100
643,Building A,50
644,Building C,100
645,Science Hub,30
646,Tech Lab,30
647,Tech Lab,30
648,Building C,100
649,Building C,50
650,Tech Lab,40
651,Building A,30
652,Science Hub,150
653,Building A,60
654,Building A,60
655,Tech Lab,30
656,Building C,50
657,Building C,30
658,Building A,150
659,Building C,40
660,Building C,50
661,Building B,50
662,Building B,50
663,Tech Lab,100
664,Building C,150
665,Building B,40
666,Building B,50
667,Building B,100
668,Building C,60
669,Building C,60
670,Building B,50
671,Tech Lab,40
672,Building A,30
673,Tech Lab,30
674,Building A,100
675,Building A,30
676,Building C,50
677,Tech Lab,100
678,Tech Lab,150
679,Science Hub,50
680,Building A,30
681,Building B,40
682,Building B,60
683,Building B,60
684,Science Hub,100
685,Science Hub,150
686,Building B,100
687,Building B,30
688,Science Hub,100
689,Building C,60
690,Tech Lab,40
691,Building C,60
692,Building B,100
693,Science Hub,100
694,Building C,60
695,Tech Lab,50
696,Building C,60
697,Building B,40
698,Science Hub,100
699,Building A,40
700,Building A,100
701,Building C,30
702,Building A,60
703,Building C,60
704,Building B,30
705,Building B,60
706,Building C,100
707,Building C,30
708,Building C,60
709,Building B,40
710,Science Hub,50
711,Tech Lab,50
712,Building A,100
713,Science Hub,60
714,Building B,50
715,Building B,40
716,Building A,40
717,Science Hub,100
718,Science Hub,150
719,Science Hub,60
720,Science Hub,40
721,Building C,40
722,Science Hub,50
723,Science Hub,40
724,Building C,50
725,Science Hub,30
726,Tech Lab,50
727,Science Hub,40
728,Building C,30
729,Building A,60
730,Building A,150
731,Building B,40
732,Building B,100
733,Building C,100
734,Tech Lab,60
735,Building B,100
736,Science Hub,60
737,Tech Lab,60
738,Tech Lab,60
739,Tech Lab,100
740,Building A,50
741,Building A,60
742,Science Hub,50
743,Building C,100
744,Science Hub,30
745,Building A,40
746,Building B,40
747,Tech Lab,40
748,Tech Lab,60
749,Building B,150
750,Building B,40
751,Building B,40
752,Building B,100
753,Tech Lab,30
754,Tech Lab,100
755,Building A,30
756,Building C,100
757,Building A,30
758,Science Hub,40
759,Building A,30
760,Building B,40
761,Tech Lab,60
762,Building C,150
763,Building B,40
764,Science Hub,60
765,Building C,150
766,Building C,30
767,Building A,30
768,Building B,30
769,Building B,150
770,Building A,30
771,Building B,50
772,Tech Lab,50
773,Building B,60
774,Building B,150
775,Tech Lab,100
776,Building A,50
777,Tech Lab,60
778,Building C,40
779,Building A,60
780,Science Hub,150
781,Building C,50
782,Tech Lab,50
783,Building C,40
784,Building C,30
785,Building C,30
786,Building A,100
787,Building C,40
788,Tech Lab,100
789,Building C,150
790,Science Hub,100
791,Building B,100
792,Science Hub,100
793,Building B,40
794,Science Hub,40
795,Tech Lab,60
796,Building A,150
797,Building A,100
798,Building B,100
799,Building B,60
800,Tech Lab,150
801,Building B,60
802,Building A,50
803,Building A,40
804,Science Hub,40
805,Building A,60
806,Building A,40
807,Building C,150
808,Building C,50
809,Tech Lab,100
810,Building A,40
811,Tech Lab,60
812,Science Hub,50
813,Building B,40
814,Tech Lab,50
815,Building C,150
816,Building B,150
817,Building A,100
818,Building A,60
819,Science Hub,50
820,Building C,50
821,Building C,60
822,Building B,40
823,Building A,40
824,Building A,150
825,Tech Lab,50
826,Science Hub,30
827,Tech Lab,50
828,Building A,50
829,Tech Lab,150
830,Building B,30
831,Science Hub,100
832,Science Hub,60
833,Science Hub,150
834,Building A,100
835,Science Hub,40
836,Building C,40
837,Building B,30
838,Tech Lab,100
839,Building B,30
840,Science Hub,30
841,Science Hub,40
842,Science Hub,40
843,Building A,50
844,Science Hub,150
845,Building C,50
846,Building B,50
847,Science Hub,100
848,Building C,150
849,Building C,40
850,Building B,100
851,Tech Lab,30
852,Science Hub,30
853,Building B,60
854,Building A,150
855,Building C,40
856,Building A,30
857,Building C,150
858,Building A,60
859,Building A,150
860,Science Hub,60
861,Building A,50
862,Building C,50
863,Science Hub,60
864,Tech Lab,40
865,Building A,50
866,Building A,30
867,Building C,50
868,Tech Lab,30
869,Building A,40
870,Building A,60
871,Building B,100
872,Science Hub,100
873,Building C,100
874,Building A,30
875,Tech Lab,40
876,Building B,40
877,Building B,60
878,Science Hub,30
879,Building A,100
880,Building C,30
881,Science Hub,100
882,Building A,50
883,Science Hub,30
884,Building B,150
885,Science Hub,50
886,Building A,30
887,Building B,150
888,Building A,100
889,Building B,100
890,Building B,150
891,Science Hub,30
892,Building A,60
893,Building C,100
894,Building A,40
895,Building C,100
896,Building A,40
897,Tech Lab,30
898,Tech Lab,60
899,Tech Lab,60
900,Tech Lab,100
901,Building B,150
902,Building A,40
903,Building C,150
904,Tech Lab,40
905,Science Hub,50
906,Tech Lab,50
907,Building B,150
908,Science Hub,60
909,Tech Lab,50
910,Science Hub,100
911,Building B,60
912,Building B,150
913,Building A,30
914,Building C,150
915,Building C,30
916,Building A,30
917,Science Hub,50
918,Tech Lab,30
919,Building A,50
920,Building A,100
921,Building A,100
922,Building B,40
923,Building A,50
924,Tech Lab,50
925,Building A,100
926,Tech Lab,60
927,Science Hub,30
928,Building B,150
929,Building B,30
930,Science Hub,150
931,Science Hub,40
932,Science Hub,40
933,Building A,150
934,Building C,40
935,Building C,40
936,Building C,40
937,Building B,100
938,Science Hub,40
939,Tech Lab,40
940,Building A,60
941,Science Hub,60
942,Science Hub,30
943,Building A,150
944,Science Hub,40
945,Building A,150
946,Tech Lab,30
947,Building B,100
948,Building C,100
949,Building C,60
950,Building B,60
951,Building C,150
952,Building C,100
953,Building A,40
954,Building A,30
955,Science Hub,30
956,Building B,60
957,Building B,150
958,Science Hub,100
959,Building B,30
960,Building A,150
961,Science Hub,50
962,Building A,60
963,Building C,30
964,Building B,30
965,Building A,50
966,Building A,150
967,Science Hub,60
968,Building B,50
969,Tech Lab,150
970,Building A,50
971,Science Hub,150
972,Tech Lab,100
973,Building C,150
974,Building B,40
975,Building B,40
976,Building B,150
977,Tech Lab,100
978,Building B,100
979,Building C,40
980,Building B,50
981,Science Hub,60
982,Building B,100
983,Building C,100
984,Tech Lab,100
985,Building B,150
986,Building C,60
987,Tech Lab,50
988,Building A,100
989,Science Hub,100
990,Building C,150
991,Tech Lab,30
992,Science Hub,150
993,Building C,150
994,Tech Lab,30
995,Building C,50
996,Building C,40
997,Building A,60
998,Science Hub,150
999,Building C,40
1000,Building B,30
1001,Science Hub,100
1002,Building A,50
1003,Building C,40
1004,Tech Lab,30
1005,Building C,60
1006,Tech Lab,60
1007,Science Hub,50
1008,Building A,40
1009,Building C,30
1010,Building B,60
1011,Tech Lab,100
1012,Building A,150
1013,Science Hub,100
1014,Building C,150
1015,Science Hub,40
1016,Science Hub,50
1017,Building B,100
1018,Building A,100
1019,Tech Lab,150
1020,Building A,150
1021,Building C,40
1022,Building A,60
1023,Building B,40
1024,Tech Lab,40
1025,Science Hub,50
1026,Science Hub,150
1027,Building B,40
1028,Science Hub,100
1029,Building B,150
1030,Building C,30
1031,Building B,40
1032,Science Hub,60
1033,Building A,60
1034,Science Hub,60
1035,Science Hub,40
1036,Building A,30
1037,Science Hub,100
1038,Tech Lab,60
1039,Tech Lab,50
1040,Building A,40
1041,Science Hub,40
1042,Science Hub,30
1043,Building C,150
1044,Building B,100
1045,Building B,40
1046,Building A,50
1047,Building C,50
1048,Tech Lab,60
1049,Building B,50
1050,Building A,100
1051,Building C,100
1052,Building B,50
1053,Tech Lab,60
1054,Building A,60
1055,Building A,60
1056,Building C,60
1057,Building A,150
1058,Tech Lab,150
1059,Building A,60
1060,Tech Lab,150
1061,Building C,60
1062,Science Hub,60
1063,Building B,100
1064,Building C,40
1065,Building B,60
1066,Science Hub,40
1067,Tech Lab,100
1068,Science Hub,50
1069,Building C,150
1070,Building B,100
1071,Building B,50
1072,Building C,60
1073,Science Hub,40
1074,Building C,30
1075,Building B,40
1076,Building A,150
1077,Tech Lab,30
1078,Building A,40
1079,Building A,40
1080,Building B,50
1081,Building C,50
1082,Building C,100
1083,Building B,100
1084,Building C,60
1085,Building A,40
1086,Building B,60
1087,Science Hub,50
1088,Building A,150
1089,Building A,60
1090,Tech Lab,150
1091,Building C,60
1092,Science Hub,100
1093,Science Hub,40
1094,Building A,60
1095,Science Hub,50
1096,Science Hub,40
1097,Building A,40
1098,Tech Lab,100
1099,Building B,100
1100,Building C,60
1101,Building B,60
1102,Building B,30
1103,Building B,60
1104,Building C,100
1105,Building C,60
1106,Science Hub,50
1107,Building A,60
1108,Building B,40
1109,Building C,150
1110,Building C,30
1111,Building B,100
1112,Science Hub,60
1113,Building B,60
1114,Building C,100
1115,Building B,100
1116,Tech Lab,50
1117,Science Hub,40
1118,Tech Lab,30
1119,Building C,50
1120,Tech Lab,40
1121,Building A,60
1122,Building A,30
1123,Science Hub,100
1124,Science Hub,150
1125,Building B,50
1126,Building B,150
1127,Building B,40
1128,Building C,60
1129,Building A,50
1130,Science Hub,50
1131,Science Hub,100
1132,Building C,50
1133,Tech Lab,50
1134,Building A,50
1135,Science Hub,40
1136,Building A,30
1137,Science Hub,60
1138,Building C,100
1139,Tech Lab,60
1140,Tech Lab,50
1141,Building B,40
1142,Science Hub,40
1143,Building A,150
1144,Building B,30
1145,Science Hub,150
1146,Building B,30
1147,Building C,60
1148,Building C,40
1149,Building A,150
1150,Building C,60
1151,Tech Lab,50
1152,Building A,40
1153,Science Hub,30
1154,Building A,150
1155,Tech Lab,60
1156,Building B,60
1157,Building B,60
1158,Building C,150
1159,Tech Lab,150
1160,Building A,100
1161,Tech Lab,40
1162,Building C,100
1163,Building C,50
1164,Building A,50
1165,Building B,40
1166,Building A,30
1167,Building A,30
1168,Building B,60
1169,Building C,30
1170,Tech Lab,100
1171,Science Hub,100
1172,Science Hub,40
1173,Building B,100
1174,Science Hub,50
1175,Building B,40
1176,Building C,150
1177,Tech Lab,40
1178,Tech Lab,150
1179,Building B,100
1180,Tech Lab,60
1181,Building C,50
1182,Building C,40
1183,Science Hub,150
1184,Building B,150
1185,Tech Lab,100
1186,Tech Lab,50
1187,Building A,100
1320,Building B,60
1321,Tech Lab,150
1322,Tech Lab,100
1323,Science Hub,150
1324,Building A,150
1325,Building B,60
1326,Building A,50
1327,Science Hub,50
1328,Building A,30
1329,Building C,30
1330,Tech Lab,60
1331,Building C,30
1332,Building A,60
1333,Building B,150
1334,Tech Lab,50
1335,Building C,150
1336,Building A,30
1337,Science Hub,60
1338,Building A,40
1339,Building C,100
1340,Building B,40
1341,Building A,40
1342,Building C,40
1343,Tech Lab,150
1344,Building A,60
1345,Building C,150
1346,Science Hub,100
1347,Science Hub,50
1348,Building A,30
1349,Building B,50
1350,Science Hub,60
1351,Building B,60
1352,Tech Lab,50
1353,Building C,50
1354,Building A,50
1355,Building C,150
1356,Tech Lab,100
1357,Tech Lab,50
1358,Tech Lab,50
1359,Building A,50
1360,Building A,60
1361,Tech Lab,100
1362,Science Hub,60
1363,Building A,100
1364,Building B,30
1365,Science Hub,100
1366,Science Hub,50
1367,Science Hub,50
1368,Building C,30
1369,Tech Lab,100
1370,Building C,150
1371,Building C,40
1372,Building B,50
1373,Science Hub,60
1374,Building A,40
1375,Building B,60
1376,Tech Lab,100
1377,Science Hub,30
1378,Science Hub,100
1379,Science Hub,30
1380,Tech Lab,30
1381,Building B,150
1382,Building A,100
1383,Building C,40
1384,Tech Lab,150
1385,Science Hub,60
1386,Science Hub,150
1387,Science Hub,150
1388,Building C,50
1389,Tech Lab,150
1390,Building C,50
1391,Building C,40
1392,Tech Lab,30
1393,Tech Lab,40
1394,Building A,100
1395,Science Hub,60
1396,Building A,50
1397,Science Hub,30
1398,Building C,60
1399,Building B,50
1400,Building C,30
1401,Building C,60
1402,Building A,40
1403,Building C,40
1404,Building B,40
1405,Tech Lab,50
1406,Science Hub,50
1407,Building A,40
1408,Tech Lab,60
1409,Building B,150
1410,Building A,100
1411,Tech Lab,150
1412,Building A,60
1413,Building B,30
1414,Building B,30
1415,Science Hub,40
1416,Science Hub,40
1417,Science Hub,150
1418,Building C,30
1419,Building B,100
1420,Tech Lab,60
1421,Building B,30
1422,Science Hub,40
1423,Science Hub,40
1424,Tech Lab,150
1425,Building A,60
1426,Building C,100
1427,Tech Lab,40
1428,Science Hub,150
1429,Building A,40
1430,Science Hub,30
1431,Tech Lab,100
1432,Building A,60
1433,Science Hub,30
1434,Building C,60
1435,Building A,100
1436,Building B,40
1437,Tech Lab,100
1438,Building C,60
1439,Building A,40
1440,Tech Lab,60
1441,Building A,40
1442,Building C,150
1443,Building B,100
1444,Science Hub,30
1445,Science Hub,100
1446,Building B,30
1447,Building A,60
1448,Building C,150
1449,Science Hub,150
1450,Science Hub,50
1451,Tech Lab,150
1452,Building B,40
1453,Building B,40
1454,Building B,100
1455,Tech Lab,60
1456,Tech Lab,40
1457,Tech Lab,50
1458,Tech Lab,40
1459,Building C,150
1460,Building C,40
1461,Building B,60
1462,Building B,40
1463,Building A,50
1464,Science Hub,30
1465,Building A,30
1466,Building A,100
1467,Tech Lab,50
1468,Building B,40
1469,Building B,60
1470,Science Hub,100
1471,Science Hub,50
1472,Science Hub,60
1473,Building B,40
1474,Building C,40
1475,Science Hub,60
1476,Building B,60
1477,Building C,50
1478,Building B,50
1479,Building C,50
1480,Building A,40
1481,Building C,50
1482,Building B,150
1483,Science Hub,60
1484,Science Hub,40
1485,Building A,100
1486,Building C,60
1487,Building C,30
1488,Building C,60
1489,Tech Lab,40
1490,Building C,30
1491,Science Hub,40
1492,Science Hub,50
1493,Building C,40
1494,Tech Lab,60
1495,Building A,30
1496,Science Hub,150
1497,Tech Lab,50
1498,Building C,50
1499,Science Hub,150
1500,Building A,50
1501,Tech Lab,150
1502,Building C,30
1503,Tech Lab,60
1504,Building A,60
1505,Building A,100
1506,Building B,40
1507,Building C,40
1508,Building C,100
1509,Building A,50
1510,Tech Lab,30
1511,Science Hub,60
1512,Science Hub,30
1513,Building C,60
1514,Tech Lab,40
1515,Building B,100
1516,Building B,150
1517,Tech Lab,100
1518,Building C,40
1519,Science Hub,30
1520,Building C,30
1521,Tech Lab,150
1522,Building B,30
1523,Building B,150
1524,Tech Lab,100
1525,Building C,30
1526,Tech Lab,60
1527,Science Hub,40
1528,Building A,60
1529,Building A,60
1530,Tech Lab,40
1531,Tech Lab,50
1532,Science Hub,40
1533,Science Hub,50
1534,Tech Lab,150
1535,Building A,100
1536,Building A,30
1537,Building B,100
1538,Tech Lab,30
1539,Building C,50
1540,Building B,40
1541,Building B,30
1542,Tech Lab,50
1543,Building C,100
1544,Building C,50
1545,Tech Lab,30
1546,Building A,150
1547,Building A,150
1548,Science Hub,150
1549,Building A,100
1550,Tech Lab,40
1551,Building C,60
1552,Building C,50
1553,Science Hub,150
1554,Tech Lab,40
1555,Building B,100
1556,Tech Lab,30
1557,Building A,40
1558,Building C,40
1559,Science Hub,30
1560,Building C,100
1561,Building C,150
1562,Building C,60
1563,Building A,60
1564,Building C,150
1565,Science Hub,150
1566,Tech Lab,40
1567,Building A,60
1568,Building A,30
1569,Building B,100
1570,Building B,100
1571,Science Hub,60
1572,Science Hub,150
1573,Building C,30
1574,Building C,40
1575,Building B,100
1576,Science Hub,50
1577,Tech Lab,40
1578,Building A,40
1579,Tech Lab,40
1580,Tech Lab,150
1581,Building B,60
1582,Tech Lab,100
1583,Building C,100
1584,Tech Lab,150
1585,Building C,40
1586,Building A,30
1587,Science Hub,100
1588,Building A,150
1589,Science Hub,100
1590,Tech Lab,50
1591,Building A,40
1592,Science Hub,100
1593,Building B,50
1594,Building C,50
1595,Science Hub,40
1596,Tech Lab,60
1597,Tech Lab,30
1598,Building A,30
1599,Science Hub,50
1600,Building A,100
1601,Tech Lab,100
1602,Science Hub,60
1603,Building C,100
1604,Building A,60
1605,Building A,50
1606,Building C,100
1607,Science Hub,30
1608,Tech Lab,50
1609,Building A,50
1610,Science Hub,40
1611,Building B,100
1612,Tech Lab,150
1613,Tech Lab,150
1614,Tech Lab,100
1615,Building B,40
1616,Tech Lab,30
1617,Building B,40
1618,Tech Lab,100
1619,Building B,50
1620,Building B,150
1621,Building C,60
1622,Building A,40
1623,Tech Lab,100
1624,Building B,150
1625,Building B,40
1626,Tech Lab,30
1627,Building A,40
1628,Tech Lab,30
1629,Building C,60
1630,Science Hub,30
1631,Tech Lab,100
1632,Building A,40
1633,Science Hub,60
