CourseID,CourseName,credits,DepartmentID
74,Fundamentals of Ethical Hacking 4,4,7
75,Fundamentals of Cloud Computing 8,2,2
76,Fundamentals of Cloud Computing 9,4,1
77,Fundamentals of Data Structures 5,2,5
78,Fundamentals of Cloud Computing 9,3,2
79,Systems in Programming 5,3,7
80,Applied Programming 7,4,4
81,Applied Database Systems 3,2,3
82,Fundamentals of Database Systems 7,4,5
83,Fundamentals of Data Structures 1,4,7
84,Applied Networks 3,4,6
85,Applied Cloud Computing 6,3,5
86,Introduction to Ethical Hacking 9,3,5
87,Introduction to Cloud Computing 3,2,1
88,Introduction to Ethical Hacking 7,4,8
89,Applied Networks 8,2,2
90,Introduction to Data Structures 7,2,5
91,Applied Cloud Computing 2,4,8
92,Applied Programming 9,4,5
93,Introduction to Networks 8,2,3
94,Advanced Machine Learning 2,2,1
95,Advanced Networks 9,3,7
96,Applied Data Structures 2,3,1
97,Fundamentals of Ethical Hacking 4,2,6
98,Advanced Programming 5,4,5
99,Introduction to Programming 4,3,8
100,Advanced Cloud Computing 4,4,7
101,Fundamentals of Database Systems 8,4,3
102,Advanced Networks 1,3,8
103,Applied Networks 9,4,6
104,Introduction to Cloud Computing 9,3,5
105,Introduction to Networks 3,4,6
106,Applied Networks 8,3,4
107,Applied Data Structures 7,3,2
108,Advanced Database Systems 7,3,8
109,Introduction to Cloud Computing 3,2,8
110,Introduction to Programming 8,4,2
111,Systems in Networks 1,4,2
112,Fundamentals of Cloud Computing 5,2,7
113,Applied Cloud Computing 6,4,2
114,Systems in Data Structures 4,3,8
115,Introduction to Data Structures 6,2,2
116,Systems in Cloud Computing 9,3,6
117,Introduction to Cloud Computing 9,4,5
118,Applied Ethical Hacking 2,3,5
119,Systems in Machine Learning 4,4,1
120,Introduction to Data Structures 2,3,7
121,Applied Programming 2,3,7
122,Fundamentals of Data Structures 6,4,4
123,Advanced Ethical Hacking 9,4,4
124,Systems in Cloud Computing 6,4,7
125,Introduction to Ethical Hacking 5,2,5
126,Introduction to Ethical Hacking 1,2,5
127,Systems in Database Systems 8,2,7
128,Fundamentals of Networks 2,3,7
129,Advanced Networks 2,3,4
130,Fundamentals of Machine Learning 2,4,6
131,Applied Ethical Hacking 5,3,5
132,Systems in Database Systems 1,4,1
133,Fundamentals of Programming 1,3,6
134,Applied Networks 3,3,1
135,Advanced Database Systems 7,4,2
136,Introduction to Machine Learning 1,4,4
137,Systems in Cloud Computing 5,3,1
138,Applied Database Systems 5,3,2
139,Fundamentals of Data Structures 3,3,8
140,Introduction to Data Structures 9,4,8
141,Systems in Programming 7,4,8
142,Introduction to Cloud Computing 7,3,1
143,Applied Networks 1,4,1
144,Applied Ethical Hacking 2,2,5
145,Fundamentals of Ethical Hacking 9,3,2
146,Applied Programming 8,4,5
147,Systems in Machine Learning 5,3,7
148,Systems in Data Structures 7,2,8
149,Applied Data Structures 2,2,5
150,Applied Networks 8,3,6
151,Fundamentals of Ethical Hacking 7,4,4
152,Systems in Cloud Computing 1,4,1
153,Systems in Programming 4,3,3
154,Introduction to Data Structures 9,3,4
155,Fundamentals of Data Structures 9,3,2
156,Systems in Ethical Hacking 5,2,2
157,Fundamentals of Database Systems 3,3,7
158,Systems in Cloud Computing 1,4,5
159,Fundamentals of Data Structures 1,4,5
160,Systems in Programming 6,4,6
161,Applied Machine Learning 5,2,3
162,Fundamentals of Database Systems 9,2,7
163,Systems in Machine Learning 5,3,1
164,Fundamentals of Programming 8,4,2
165,Advanced Machine Learning 3,4,1
166,Systems in Networks 6,2,6
167,Applied Programming 9,4,7
168,Fundamentals of Cloud Computing 8,2,2
169,Introduction to Ethical Hacking 1,3,3
170,Fundamentals of Programming 2,2,2
171,Systems in Data Structures 6,3,6
172,Introduction to Data Structures 7,2,7
173,Fundamentals of Cloud Computing 3,2,3
174,Advanced Data Structures 5,4,6
175,Advanced Networks 7,3,8
176,Advanced Programming 9,2,5
177,Applied Machine Learning 9,2,7
178,Introduction to Programming 6,2,6
179,Systems in Networks 2,4,2
180,Applied Data Structures 2,2,8
181,Advanced Cloud Computing 9,2,8
182,Introduction to Programming 8,4,4
183,Systems in Database Systems 3,3,2
184,Advanced Data Structures 4,2,3
185,Introduction to Data Structures 4,3,3
186,Introduction to Machine Learning 1,2,5
187,Fundamentals of Cloud Computing 7,4,1
188,Applied Data Structures 7,4,3
189,Introduction to Machine Learning 5,3,1
190,Applied Machine Learning 9,4,1
191,Advanced Data Structures 7,3,7
192,Introduction to Cloud Computing 4,3,8
193,Fundamentals of Database Systems 1,2,5
194,Applied Ethical Hacking 1,3,6
195,Introduction to Cloud Computing 4,2,5
196,Systems in Database Systems 2,3,6
197,Advanced Cloud Computing 7,4,8
198,Systems in Data Structures 6,2,8
199,Advanced Cloud Computing 7,3,1
200,Fundamentals of Database Systems 5,4,8
201,Applied Ethical Hacking 1,2,6
202,Advanced Ethical Hacking 9,3,4
203,Applied Ethical Hacking 1,3,2
204,Introduction to Data Structures 8,2,2
205,Advanced Ethical Hacking 2,4,3
206,Fundamentals of Database Systems 3,2,2
207,Fundamentals of Programming 2,3,5
208,Systems in Data Structures 1,2,1
209,Applied Ethical Hacking 8,4,7
210,Introduction to Data Structures 9,4,6
211,Advanced Networks 4,3,8
212,Fundamentals of Cloud Computing 3,3,6
213,Introduction to Machine Learning 9,3,1
214,Introduction to Machine Learning 6,2,4
215,Applied Ethical Hacking 2,4,3
216,Applied Ethical Hacking 4,3,5
217,Systems in Networks 8,4,3
218,Introduction to Data Structures 8,3,7
219,Fundamentals of Cloud Computing 2,4,6
220,Applied Ethical Hacking 1,2,1
221,Systems in Programming 9,4,8
222,Introduction to Networks 8,4,6
223,Advanced Database Systems 1,3,4
224,Fundamentals of Ethical Hacking 6,4,5
225,Applied Database Systems 6,2,5
226,Applied Database Systems 5,4,3
227,Fundamentals of Machine Learning 6,2,6
228,Advanced Programming 7,3,5
229,Fundamentals of Networks 2,3,2
230,Fundamentals of Cloud Computing 4,3,3
231,Advanced Cloud Computing 6,3,7
232,Introduction to Ethical Hacking 7,2,1
233,Systems in Database Systems 6,2,5
234,Advanced Ethical Hacking 6,3,2
235,Advanced Networks 7,3,2
236,Fundamentals of Machine Learning 1,3,3
237,Introduction to Database Systems 9,2,1
238,Fundamentals of Machine Learning 5,4,8
239,Fundamentals of Database Systems 4,2,1
240,Systems in Ethical Hacking 8,4,4
241,Advanced Data Structures 7,2,4
242,Introduction to Networks 4,3,5
243,Systems in Cloud Computing 8,4,3
244,Advanced Cloud Computing 7,2,3
245,Systems in Database Systems 2,4,1
246,Applied Ethical Hacking 2,3,2
247,Fundamentals of Programming 8,3,1
248,Systems in Ethical Hacking 9,2,1
249,Systems in Programming 1,3,6
250,Applied Machine Learning 3,3,4
251,Fundamentals of Data Structures 5,3,6
252,Systems in Cloud Computing 6,2,3
253,Systems in Cloud Computing 2,4,2
254,Fundamentals of Networks 7,2,1
255,Advanced Ethical Hacking 3,3,8
256,Systems in Ethical Hacking 9,4,4
257,Fundamentals of Ethical Hacking 5,4,6
258,Fundamentals of Networks 9,4,8
259,Introduction to Data Structures 4,4,3
260,Introduction to Database Systems 4,2,7
261,Applied Programming 5,3,4
262,Introduction to Machine Learning 5,3,7
263,Fundamentals of Networks 5,4,8
264,Systems in Machine Learning 1,2,8
265,Introduction to Machine Learning 1,2,3
266,Systems in Database Systems 9,3,4
267,Systems in Data Structures 2,2,8
268,Applied Database Systems 7,2,2
269,Fundamentals of Ethical Hacking 6,2,7
270,Fundamentals of Networks 2,2,8
271,Advanced Machine Learning 4,4,4
272,Advanced Programming 1,3,7
273,Fundamentals of Machine Learning 5,4,3
274,Systems in Ethical Hacking 4,3,7
275,Advanced Programming 3,4,8
276,Systems in Ethical Hacking 7,4,6
277,Advanced Data Structures 5,3,5
278,Applied Ethical Hacking 8,2,7
279,Fundamentals of Database Systems 7,3,3
280,Advanced Data Structures 4,4,6
281,Systems in Cloud Computing 4,3,8
282,Applied Programming 5,3,8
283,Introduction to Programming 5,3,6
284,Systems in Programming 5,3,3
285,Systems in Networks 6,2,6
286,Applied Programming 2,2,2
287,Systems in Database Systems 5,3,4
288,Applied Machine Learning 3,3,3
289,Introduction to Ethical Hacking 6,3,7
290,Advanced Database Systems 7,2,5
291,Advanced Machine Learning 1,4,2
292,Systems in Cloud Computing 8,4,6
293,Fundamentals of Machine Learning 8,3,8
294,Introduction to Networks 7,3,5
295,Introduction to Machine Learning 6,2,5
296,Advanced Ethical Hacking 5,2,5
297,Systems in Database Systems 3,4,1
298,Fundamentals of Networks 3,3,3
299,Advanced Programming 2,2,2
300,Introduction to Cloud Computing 7,2,2
301,Fundamentals of Machine Learning 4,4,8
302,Advanced Machine Learning 4,4,7
303,Advanced Programming 3,4,5
304,Advanced Machine Learning 4,3,6
305,Systems in Cloud Computing 6,4,4
306,Introduction to Data Structures 2,4,6
307,Systems in Machine Learning 8,4,5
308,Introduction to Machine Learning 8,2,8
309,Applied Programming 2,4,4
310,Fundamentals of Networks 9,4,6
311,Applied Ethical Hacking 1,2,2
312,Introduction to Programming 1,3,7
313,Applied Programming 5,3,1
314,Introduction to Data Structures 3,3,3
315,Applied Cloud Computing 9,3,1
316,Fundamentals of Machine Learning 8,3,2
317,Introduction to Ethical Hacking 5,3,7
318,Fundamentals of Data Structures 1,2,6
319,Advanced Cloud Computing 4,2,3
320,Fundamentals of Programming 5,4,8
321,Fundamentals of Networks 5,3,8
322,Fundamentals of Programming 6,4,7
323,Fundamentals of Programming 4,3,8
324,Advanced Machine Learning 2,2,1
325,Introduction to Machine Learning 9,4,6
326,Systems in Networks 5,4,8
327,Applied Data Structures 4,3,3
328,Systems in Networks 7,2,8
329,Advanced Database Systems 5,3,7
330,Fundamentals of Data Structures 8,3,6
331,Systems in Networks 6,3,8
332,Applied Cloud Computing 2,4,4
333,Advanced Ethical Hacking 4,4,4
334,Introduction to Ethical Hacking 2,4,8
335,Systems in Networks 1,2,3
336,Applied Cloud Computing 7,3,6
337,Systems in Data Structures 6,4,8
338,Systems in Data Structures 5,3,1
339,Systems in Machine Learning 6,2,8
340,Fundamentals of Machine Learning 5,4,6
341,Introduction to Programming 6,4,5
342,Systems in Database Systems 9,2,7
343,Applied Database Systems 2,2,7
344,Advanced Networks 3,2,6
345,Fundamentals of Database Systems 4,2,2
346,Systems in Cloud Computing 4,3,5
347,Advanced Database Systems 5,2,7
348,Systems in Ethical Hacking 3,4,3
349,Fundamentals of Cloud Computing 9,4,3
350,Systems in Programming 1,3,6
351,Systems in Machine Learning 8,3,1
352,Fundamentals of Networks 7,3,8
353,Introduction to Machine Learning 7,4,4
354,Fundamentals of Ethical Hacking 2,2,4
355,Applied Networks 3,4,3
356,Systems in Networks 4,3,3
357,Systems in Database Systems 8,2,5
358,Fundamentals of Cloud Computing 1,3,2
359,Applied Database Systems 6,2,4
360,Introduction to Ethical Hacking 3,3,4
361,Advanced Ethical Hacking 9,2,3
362,Introduction to Database Systems 7,3,8
363,Fundamentals of Networks 9,2,2
364,Introduction to Ethical Hacking 1,4,7
365,Fundamentals of Machine Learning 3,2,8
366,Introduction to Database Systems 5,2,2
367,Introduction to Programming 8,3,8
368,Systems in Machine Learning 5,2,6
369,Fundamentals of Database Systems 8,4,1
370,Advanced Programming 2,2,8
371,Advanced Machine Learning 2,3,6
372,Introduction to Database Systems 2,4,2
373,Introduction to Database Systems 5,4,4
374,Introduction to Cloud Computing 2,4,8
375,Introduction to Programming 2,2,4
376,Fundamentals of Programming 8,4,5
377,Systems in Database Systems 5,4,1
378,Fundamentals of Data Structures 8,2,6
379,Introduction to Database Systems 4,4,7
380,Applied Ethical Hacking 5,2,3
381,Introduction to Ethical Hacking 1,3,5
382,Systems in Programming 9,2,3
383,Fundamentals of Cloud Computing 2,4,2
384,Systems in Ethical Hacking 1,4,2
385,Advanced Machine Learning 5,4,1
386,Introduction to Database Systems 2,4,1
387,Systems in Programming 1,2,3
388,Introduction to Programming 5,4,5
389,Systems in Data Structures 5,4,6
390,Applied Networks 2,3,1
391,Systems in Database Systems 2,3,2
392,Systems in Programming 7,3,6
393,Applied Database Systems 4,4,1
394,Advanced Database Systems 2,4,3
395,Introduction to Networks 3,4,2
396,Systems in Cloud Computing 2,2,5
397,Introduction to Programming 5,4,7
398,Fundamentals of Ethical Hacking 4,3,7
399,Systems in Data Structures 5,3,1
400,Systems in Ethical Hacking 5,4,6
401,Systems in Machine Learning 5,2,5
402,Systems in Ethical Hacking 7,4,6
403,Introduction to Programming 5,2,5
404,Systems in Data Structures 3,2,7
405,Advanced Cloud Computing 1,2,2
406,Systems in Ethical Hacking 2,4,8
407,Fundamentals of Data Structures 4,4,7
408,Systems in Machine Learning 7,3,4
409,Applied Programming 2,2,1
410,Applied Machine Learning 5,3,3
411,Introduction to Programming 1,2,5
412,Systems in Cloud Computing 3,2,6
413,Systems in Ethical Hacking 3,2,2
414,Advanced Database Systems 1,4,4
415,Applied Machine Learning 1,2,8
416,Fundamentals of Database Systems 4,4,6
417,Introduction to Machine Learning 9,2,7
418,Systems in Cloud Computing 8,2,3
419,Systems in Database Systems 5,4,5
420,Applied Networks 5,3,1
421,Fundamentals of Programming 4,4,4
422,Introduction to Cloud Computing 2,3,7
423,Introduction to Data Structures 2,3,6
424,Systems in Ethical Hacking 2,2,1
425,Introduction to Programming 2,4,8
426,Applied Data Structures 2,3,1
427,Introduction to Ethical Hacking 7,3,8
428,Applied Cloud Computing 6,2,4
429,Fundamentals of Cloud Computing 9,3,8
430,Introduction to Data Structures 5,4,8
431,Introduction to Networks 2,2,8
432,Fundamentals of Ethical Hacking 9,2,3
433,Introduction to Programming 1,4,2
434,Advanced Machine Learning 1,4,6
435,Introduction to Data Structures 4,4,7
436,Systems in Database Systems 7,2,3
437,Advanced Machine Learning 8,4,6
438,Systems in Programming 3,4,6
439,Introduction to Ethical Hacking 6,2,7
440,Advanced Cloud Computing 9,4,5
441,Introduction to Database Systems 2,3,7
442,Fundamentals of Database Systems 9,3,2
443,Fundamentals of Cloud Computing 9,2,6
444,Advanced Data Structures 1,4,8
445,Introduction to Cloud Computing 9,4,2
446,Advanced Machine Learning 8,4,8
447,Introduction to Networks 1,4,4
448,Fundamentals of Database Systems 9,3,4
449,Applied Networks 1,4,8
450,Fundamentals of Cloud Computing 7,4,1
451,Advanced Programming 6,2,1
452,Introduction to Networks 7,3,1
453,Systems in Programming 7,3,2
454,Introduction to Cloud Computing 9,4,7
455,Advanced Ethical Hacking 5,3,2
456,Applied Cloud Computing 9,3,3
457,Advanced Machine Learning 7,3,3
458,Applied Cloud Computing 6,4,8
459,Fundamentals of Programming 7,3,8
460,Advanced Data Structures 7,3,1
461,Fundamentals of Ethical Hacking 5,4,3
462,Introduction to Machine Learning 8,3,2
463,Applied Programming 6,4,8
464,Fundamentals of Database Systems 2,3,2
465,Fundamentals of Machine Learning 8,3,5
466,Systems in Machine Learning 3,4,4
467,Fundamentals of Machine Learning 6,2,5
468,Fundamentals of Ethical Hacking 6,2,7
469,Applied Ethical Hacking 9,2,7
470,Fundamentals of Networks 1,4,5
471,Systems in Programming 4,4,6
472,Applied Programming 9,2,6
473,Introduction to Data Structures 4,4,7
474,Fundamentals of Ethical Hacking 4,4,2
475,Fundamentals of Programming 1,4,5
476,Advanced Database Systems 8,2,5
477,Advanced Data Structures 2,4,4
478,Fundamentals of Machine Learning 8,2,4
479,Systems in Programming 1,2,5
480,Advanced Programming 3,4,6
481,Introduction to Machine Learning 5,4,4
482,Applied Data Structures 3,2,7
483,Systems in Cloud Computing 4,3,8
484,Fundamentals of Ethical Hacking 9,2,3
485,Applied Networks 7,2,6
486,Introduction to Data Structures 2,4,1
487,Fundamentals of Ethical Hacking 3,2,4
488,Fundamentals of Ethical Hacking 9,2,3
489,Fundamentals of Programming 1,3,3
490,Advanced Data Structures 5,3,5
491,Systems in Machine Learning 8,2,6
492,Fundamentals of Data Structures 7,4,6
493,Applied Ethical Hacking 1,4,3
494,Advanced Database Systems 3,2,6
495,Applied Networks 7,3,1
496,Introduction to Programming 4,2,3
497,Fundamentals of Database Systems 9,4,3
498,Fundamentals of Data Structures 4,3,5
499,Advanced Cloud Computing 1,2,4
500,Introduction to Machine Learning 1,2,1
501,Fundamentals of Ethical Hacking 1,4,4
502,Systems in Networks 1,2,2
503,Introduction to Data Structures 4,4,3
504,Systems in Machine Learning 4,2,3
505,Applied Networks 4,4,8
506,Fundamentals of Database Systems 3,4,4
507,Fundamentals of Ethical Hacking 5,2,8
508,Fundamentals of Programming 7,3,1
509,Advanced Database Systems 5,3,5
510,Introduction to Ethical Hacking 9,3,2
511,Applied Database Systems 6,2,7
512,Systems in Data Structures 5,2,6
513,Systems in Cloud Computing 3,4,1
514,Advanced Ethical Hacking 8,3,3
515,Advanced Cloud Computing 1,4,1
516,Introduction to Database Systems 8,2,1
517,Systems in Ethical Hacking 9,2,5
518,Applied Programming 4,2,2
519,Fundamentals of Data Structures 4,3,3
520,Fundamentals of Ethical Hacking 1,4,2
521,Applied Networks 7,3,8
522,Systems in Programming 1,3,8
523,Systems in Machine Learning 2,3,4
524,Advanced Programming 6,4,5
525,Advanced Data Structures 3,3,6
526,Fundamentals of Machine Learning 7,2,4
527,Systems in Programming 8,2,7
528,Fundamentals of Machine Learning 8,3,8
529,Fundamentals of Database Systems 8,2,3
530,Applied Machine Learning 5,3,7
531,Systems in Database Systems 9,2,7
532,Applied Database Systems 2,2,5
533,Applied Machine Learning 3,2,7
534,Fundamentals of Cloud Computing 3,4,7
535,Fundamentals of Data Structures 5,3,2
536,Systems in Data Structures 6,3,8
537,Advanced Ethical Hacking 2,2,3
538,Advanced Programming 3,4,1
539,Systems in Data Structures 6,3,2
540,Systems in Cloud Computing 6,4,1
541,Advanced Networks 8,4,7
542,Introduction to Machine Learning 8,4,1
543,Advanced Machine Learning 3,4,6
544,Applied Machine Learning 5,2,7
545,Applied Cloud Computing 8,3,7
546,Applied Machine Learning 8,3,1
547,Advanced Cloud Computing 8,4,6
548,Advanced Ethical Hacking 4,2,1
549,Advanced Programming 4,3,6
550,Systems in Networks 1,3,2
551,Applied Programming 2,2,7
552,Fundamentals of Programming 1,3,4
553,Systems in Networks 8,3,1
554,Fundamentals of Ethical Hacking 7,3,8
555,Introduction to Data Structures 7,4,3
556,Advanced Programming 8,4,3
557,Introduction to Ethical Hacking 7,2,2
558,Advanced Networks 8,2,7
559,Advanced Machine Learning 6,2,7
560,Introduction to Programming 1,3,8
561,Advanced Data Structures 8,4,1
562,Systems in Networks 1,3,2
563,Fundamentals of Cloud Computing 3,2,6
564,Advanced Programming 1,3,2
565,Introduction to Networks 2,4,1
566,Advanced Ethical Hacking 1,4,3
567,Applied Networks 7,4,6
568,Fundamentals of Programming 9,3,5
569,Systems in Database Systems 2,3,5
570,Applied Programming 4,3,5
571,Advanced Machine Learning 3,4,3
572,Introduction to Data Structures 3,2,4
573,Fundamentals of Machine Learning 3,2,1
574,Introduction to Machine Learning 4,2,8
575,Applied Networks 2,2,1
576,Advanced Cloud Computing 5,2,2
577,Introduction to Networks 2,3,8
578,Systems in Machine Learning 7,2,3
579,Advanced Programming 8,2,1
580,Introduction to Programming 9,2,1
581,Advanced Networks 7,3,8
582,Systems in Database Systems 1,2,4
583,Fundamentals of Cloud Computing 5,4,6
584,Systems in Cloud Computing 9,4,6
585,Advanced Programming 9,2,6
586,Systems in Database Systems 4,2,7
587,Advanced Programming 8,3,7
588,Applied Networks 8,3,1
589,Advanced Networks 8,3,1
590,Fundamentals of Networks 2,3,1
591,Introduction to Database Systems 1,4,6
592,Applied Cloud Computing 8,3,6
593,Systems in Programming 1,3,3
594,Applied Cloud Computing 9,3,4
595,Applied Data Structures 8,3,6
596,Systems in Cloud Computing 9,3,3
597,Fundamentals of Networks 3,3,1
598,Applied Programming 6,4,3
599,Applied Ethical Hacking 8,3,5
600,Fundamentals of Database Systems 5,3,8
601,Introduction to Cloud Computing 7,2,5
602,Introduction to Cloud Computing 3,3,2
603,Systems in Machine Learning 7,3,5
604,Applied Ethical Hacking 1,2,6
605,Fundamentals of Programming 4,3,3
606,Systems in Ethical Hacking 2,3,6
607,Applied Programming 8,3,5
608,Introduction to Networks 4,4,6
609,Applied Ethical Hacking 2,2,2
610,Advanced Machine Learning 7,3,4
611,Introduction to Ethical Hacking 8,2,5
612,Fundamentals of Ethical Hacking 9,3,7
613,Introduction to Programming 5,4,6
614,Systems in Programming 8,2,2
615,Introduction to Networks 6,4,6
616,Applied Cloud Computing 4,3,1
617,Applied Ethical Hacking 3,2,1
618,Systems in Machine Learning 1,3,5
619,Systems in Networks 9,4,7
620,Applied Ethical Hacking 9,4,3
621,Advanced Ethical Hacking 2,3,8
622,Advanced Database Systems 6,2,1
623,Applied Machine Learning 2,2,8
624,Systems in Cloud Computing 4,3,6
625,Introduction to Database Systems 8,4,3
626,Fundamentals of Database Systems 9,3,2
627,Fundamentals of Data Structures 8,3,1
628,Introduction to Data Structures 4,4,2
629,Advanced Machine Learning 9,2,3
630,Systems in Ethical Hacking 3,3,8
631,Applied Data Structures 2,3,4
632,Advanced Machine Learning 9,4,4
633,Fundamentals of Database Systems 2,4,7
634,Systems in Data Structures 8,4,1
635,Advanced Ethical Hacking 4,4,3
636,Advanced Data Structures 4,4,1
637,Applied Database Systems 8,3,7
638,Systems in Programming 7,3,1
639,Applied Ethical Hacking 6,3,1
640,Systems in Database Systems 6,3,3
641,Applied Machine Learning 5,3,5
642,Systems in Cloud Computing 5,3,6
643,Fundamentals of Data Structures 7,4,1
644,Fundamentals of Programming 9,2,3
645,Introduction to Data Structures 7,4,4
646,Introduction to Database Systems 1,3,4
647,Fundamentals of Ethical Hacking 4,3,5
648,Systems in Programming 4,3,6
649,Fundamentals of Networks 6,3,2
650,Fundamentals of Cloud Computing 5,3,4
651,Introduction to Database Systems 7,2,4
652,Introduction to Data Structures 9,3,4
653,Systems in Machine Learning 7,2,6
654,Advanced Database Systems 4,4,4
655,Applied Database Systems 3,4,1
656,Systems in Data Structures 8,3,2
657,Applied Cloud Computing 2,4,8
658,Fundamentals of Programming 7,2,7
659,Advanced Networks 2,3,5
660,Applied Programming 4,2,5
661,Advanced Programming 4,4,8
662,Applied Data Structures 3,4,6
663,Fundamentals of Ethical Hacking 4,2,6
664,Fundamentals of Data Structures 6,2,5
665,Systems in Data Structures 3,4,4
666,Introduction to Programming 5,4,3
667,Systems in Database Systems 3,3,4
668,Fundamentals of Machine Learning 4,4,4
669,Advanced Database Systems 4,2,1
670,Applied Cloud Computing 8,3,4
671,Fundamentals of Database Systems 7,4,1
672,Fundamentals of Programming 3,4,2
673,Introduction to Programming 8,2,2
674,Introduction to Data Structures 8,2,1
675,Applied Database Systems 2,3,2
676,Introduction to Database Systems 2,2,2
677,Systems in Cloud Computing 5,3,7
678,Advanced Database Systems 3,4,3
679,Fundamentals of Programming 4,4,6
680,Systems in Cloud Computing 2,2,7
681,Introduction to Cloud Computing 2,2,2
682,Advanced Networks 9,3,2
683,Introduction to Cloud Computing 9,3,8
684,Advanced Programming 3,4,7
685,Introduction to Database Systems 4,2,5
686,Fundamentals of Programming 7,4,4
687,Introduction to Programming 7,2,3
688,Advanced Database Systems 9,4,3
689,Fundamentals of Machine Learning 4,2,8
690,Applied Machine Learning 8,2,1
691,Introduction to Cloud Computing 9,4,6
692,Advanced Machine Learning 4,3,4
693,Fundamentals of Data Structures 3,4,2
694,Systems in Ethical Hacking 3,4,4
695,Applied Ethical Hacking 8,2,4
696,Fundamentals of Ethical Hacking 7,4,6
697,Fundamentals of Database Systems 1,2,6
698,Fundamentals of Database Systems 5,3,6
699,Advanced Machine Learning 7,3,4
700,Applied Data Structures 6,3,2
701,Systems in Machine Learning 9,3,1
702,Systems in Data Structures 5,3,6
703,Advanced Database Systems 7,3,4
704,Systems in Networks 6,2,8
705,Fundamentals of Programming 2,4,6
706,Applied Machine Learning 4,2,1
707,Advanced Machine Learning 1,4,7
708,Fundamentals of Ethical Hacking 8,4,4
709,Applied Cloud Computing 9,2,7
710,Applied Programming 5,4,1
711,Systems in Database Systems 1,3,6
712,Fundamentals of Programming 5,4,5
713,Introduction to Machine Learning 5,3,6
714,Systems in Database Systems 7,4,5
715,Introduction to Data Structures 1,2,2
716,Applied Machine Learning 2,3,8
717,Introduction to Cloud Computing 5,4,8
718,Advanced Machine Learning 1,4,1
719,Fundamentals of Database Systems 8,4,2
720,Applied Programming 1,4,1
721,Systems in Machine Learning 4,4,7
722,Advanced Data Structures 4,3,4
723,Fundamentals of Machine Learning 9,2,6
724,Advanced Cloud Computing 5,2,8
725,Advanced Cloud Computing 3,3,3
726,Applied Ethical Hacking 8,4,2
727,Introduction to Data Structures 2,4,7
728,Advanced Cloud Computing 9,2,1
729,Advanced Networks 8,4,5
730,Applied Ethical Hacking 8,4,6
731,Introduction to Database Systems 4,3,1
732,Applied Ethical Hacking 9,2,5
733,Applied Networks 2,3,1
734,Systems in Machine Learning 5,4,6
735,Advanced Cloud Computing 4,3,5
736,Advanced Ethical Hacking 4,4,5
